,query
query,0.9999999999999971
./ElPais\ciencia\ElPais_ciencia_2021-12-25_19.txt,0.2108622743325178
./ElPais\ciencia\ElPais_ciencia_2021-12-26_18.txt,0.12997932472249013
./ElPais\sanidad\ElPais_sanidad_2021-12-31_3.txt,0.051858220422462464
./ElPais\tecnologia\ElPais_tecnologia_2021-12-31_1.txt,0.03970654151062204
./ElPais\ciencia\ElPais_ciencia_2021-12-31_2.txt,0.03970654151062204
./ElPais\sanidad\ElPais_sanidad_2021-12-27_21.txt,0.035029769921529806
./ElPais\ciencia\ElPais_ciencia_2021-12-29_9.txt,0.03494876434330855
./ElPais\ciencia\ElPais_ciencia_2021-12-26_17.txt,0.033233488249275744
./ElPais\ciencia\ElPais_ciencia_2021-12-25_21.txt,0.03188384381534551
./ElPais\sanidad\ElPais_sanidad_2021-12-28_16.txt,0.030887349289109172
./ElPais\sanidad\ElPais_sanidad_2021-12-31_2.txt,0.02953774442966455
./ElPais\ciencia\ElPais_ciencia_2021-12-31_3.txt,0.02912446478516388
./ElPais\ciencia\ElPais_ciencia_2021-12-30_8.txt,0.028327473957123254
./ElPais\ciencia\ElPais_ciencia_2021-12-29_10.txt,0.027928931940345743
./ElPais\sanidad\ElPais_sanidad_2021-12-28_17.txt,0.026406908334348528
./ElPais\sanidad\ElPais_sanidad_2021-12-28_18.txt,0.025441634581551416
./ElPais\ciencia\ElPais_ciencia_2021-12-28_12.txt,0.025441634581551416
./ElPais\sanidad\ElPais_sanidad_2021-12-27_24.txt,0.025176444518540394
./ElPais\ciencia\ElPais_ciencia_2021-12-27_14.txt,0.025160914609799287
./ElPais\sanidad\ElPais_sanidad_2021-12-30_5.txt,0.02445742812449433
./ElPais\sanidad\ElPais_sanidad_2021-12-29_12.txt,0.024085918002565047
./ElPais\ciencia\ElPais_ciencia_2021-12-25_20.txt,0.024003550714566897
./ElPais\sanidad\ElPais_sanidad_2021-12-30_6.txt,0.023986080430942018
./ElPais\sanidad\ElPais_sanidad_2021-12-29_13.txt,0.023525714976572222
./ElPais\sanidad\ElPais_sanidad_2021-12-29_14.txt,0.022894805179354313
./ElPais\sanidad\ElPais_sanidad_2021-12-27_25.txt,0.02232610334179844
./ElPais\tecnologia\ElPais_tecnologia_2021-12-27_10.txt,0.022297140158356956
./ElPais\ciencia\ElPais_ciencia_2021-12-31_4.txt,0.01980463260902575
./ElPais\tecnologia\ElPais_tecnologia_2021-12-30_5.txt,0.019053224661470417
./ElPais\tecnologia\ElPais_tecnologia_2021-12-26_15.txt,0.01903353432345583
./ElPais\tecnologia\ElPais_tecnologia_2021-12-26_16.txt,0.018615669044928267
./ElPais\tecnologia\ElPais_tecnologia_2021-12-31_2.txt,0.018520258083373427
./ElPais\sanidad\ElPais_sanidad_2021-12-31_1.txt,0.01735204712473414
./ElPais\tecnologia\ElPais_tecnologia_2021-12-27_13.txt,0.0173283613881677
./ElPais\ciencia\ElPais_ciencia_2021-12-27_16.txt,0.01656564288967032
./ElPais\tecnologia\ElPais_tecnologia_2021-12-24_21.txt,0.016363751079216293
./ElPais\tecnologia\ElPais_tecnologia_2021-12-28_8.txt,0.016359824170815357
./ElPais\tecnologia\ElPais_tecnologia_2021-12-26_18.txt,0.016263204239475904
./ElPais\sanidad\ElPais_sanidad_2021-12-30_8.txt,0.016225280460676044
./ElPais\sanidad\ElPais_sanidad_2021-12-27_23.txt,0.015981150792107154
./ElPais\tecnologia\ElPais_tecnologia_2021-12-23_24.txt,0.015965310902207118
./ElPais\sanidad\ElPais_sanidad_2021-12-29_10.txt,0.015517804052806844
./ElPais\sanidad\ElPais_sanidad_2021-12-30_7.txt,0.015435148810886404
./ElPais\tecnologia\ElPais_tecnologia_2021-12-28_7.txt,0.015415227917433072
./ElPais\tecnologia\ElPais_tecnologia_2021-12-23_23.txt,0.015393469016249646
./ElPais\sanidad\ElPais_sanidad_2021-12-28_20.txt,0.015391677773315198
./ElPais\ciencia\ElPais_ciencia_2021-12-28_13.txt,0.015391677773315198
./ElPais\ciencia\ElPais_ciencia_2021-12-30_7.txt,0.015247820307568312
./ElPais\sanidad\ElPais_sanidad_2021-12-28_19.txt,0.014352842508377352
./ElPais\sanidad\ElPais_sanidad_2021-12-25_27.txt,0.014094861603457388
./ElPais\tecnologia\ElPais_tecnologia_2021-12-26_14.txt,0.013932605108330918
./ElPais\tecnologia\ElPais_tecnologia_2021-12-25_20.txt,0.013860491603397966
./ElPais\sanidad\ElPais_sanidad_2021-12-29_9.txt,0.01366558989235265
./ElPais\tecnologia\ElPais_tecnologia_2021-12-28_9.txt,0.013121796911781195
./ElPais\tecnologia\ElPais_tecnologia_2021-12-22_27.txt,0.012567278020096067
./ElPais\tecnologia\ElPais_tecnologia_2021-12-29_6.txt,0.012147397267987674
./ElPais\tecnologia\ElPais_tecnologia_2021-12-27_12.txt,0.012097222358494539
./ElPais\tecnologia\ElPais_tecnologia_2021-12-31_3.txt,0.012050276703701254
./ElPais\sanidad\ElPais_sanidad_2021-12-28_15.txt,0.012019278532330651
./ElPais\tecnologia\ElPais_tecnologia_2021-12-30_4.txt,0.011529276699619506
./ElPais\tecnologia\ElPais_tecnologia_2021-12-24_22.txt,0.010691485002001191
./ElPais\tecnologia\ElPais_tecnologia_2021-12-22_26.txt,0.010520160397100676
./ElPais\tecnologia\ElPais_tecnologia_2021-12-22_25.txt,0.010360055471995215
./ElPais\tecnologia\ElPais_tecnologia_2021-12-27_11.txt,0.01018277908007071
./ElPais\ciencia\ElPais_ciencia_2021-12-30_6.txt,0.010097208347987505
./ElPais\tecnologia\ElPais_tecnologia_2021-12-26_17.txt,0.01005562172570852
./ElPais\ciencia\ElPais_ciencia_2021-12-31_1.txt,0.009489997410568742
./ElPais\sanidad\ElPais_sanidad_2021-12-30_4.txt,0.009304781951221747
./ElPais\ciencia\ElPais_ciencia_2021-12-30_5.txt,0.008850734302541682
./ElPais\sanidad\ElPais_sanidad_2021-12-29_11.txt,0.007675655117975756
./ElPais\ciencia\ElPais_ciencia_2021-12-27_15.txt,0.0073454143191752155
./ElPais\sanidad\ElPais_sanidad_2021-12-27_22.txt,0.0073204536087565575
./ElPais\ciencia\ElPais_ciencia_2021-12-24_22.txt,0.00700572513682603
./ElPais\ciencia\ElPais_ciencia_2021-12-28_11.txt,0.006517091327271463
./ElPais\sanidad\ElPais_sanidad_2021-12-26_26.txt,0.006002822819700665
./ElPais\tecnologia\ElPais_tecnologia_2021-12-25_19.txt,0.0047367562274051814
