Noticia,Ponderacion
./ElMundo\ciencia\ElMundo_ciencia_2021-11-23_50.txt,0.4727272727272727
./ElMundo\ciencia\ElMundo_ciencia_2021-11-24_48.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-11-24_49.txt,0.7619047619047619
./ElMundo\ciencia\ElMundo_ciencia_2021-11-30_46.txt,0.6575342465753424
./ElMundo\ciencia\ElMundo_ciencia_2021-11-30_47.txt,0.5777777777777777
./ElMundo\ciencia\ElMundo_ciencia_2021-12-01_44.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-02_41.txt,0.6575342465753424
./ElMundo\ciencia\ElMundo_ciencia_2021-12-03_42.txt,0.5777777777777777
./ElMundo\ciencia\ElMundo_ciencia_2021-12-04_40.txt,0.64
./ElMundo\ciencia\ElMundo_ciencia_2021-12-06_39.txt,0.6575342465753424
./ElMundo\ciencia\ElMundo_ciencia_2021-12-08_38.txt,0.6575342465753424
./ElMundo\ciencia\ElMundo_ciencia_2021-12-09_36.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2021-12-09_37.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2021-12-10_34.txt,0.8421052631578947
./ElMundo\ciencia\ElMundo_ciencia_2021-12-10_35.txt,0.6153846153846154
./ElMundo\ciencia\ElMundo_ciencia_2021-12-11_32.txt,0.64
./ElMundo\ciencia\ElMundo_ciencia_2021-12-12_31.txt,0.6575342465753424
./ElMundo\ciencia\ElMundo_ciencia_2021-12-13_29.txt,0.4482758620689655
./ElMundo\ciencia\ElMundo_ciencia_2021-12-13_30.txt,0.5777777777777777
./ElMundo\ciencia\ElMundo_ciencia_2021-12-14_28.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-15_26.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-15_27.txt,0.75
./ElMundo\ciencia\ElMundo_ciencia_2021-12-16_21.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-16_22.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-16_23.txt,0.35294117647058826
./ElMundo\ciencia\ElMundo_ciencia_2021-12-16_24.txt,0.9056603773584906
./ElMundo\ciencia\ElMundo_ciencia_2021-12-16_25.txt,0.5777777777777777
./ElMundo\ciencia\ElMundo_ciencia_2021-12-16_33.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-17_19.txt,0.5263157894736842
./ElMundo\ciencia\ElMundo_ciencia_2021-12-18_20.txt,0.5777777777777777
./ElMundo\ciencia\ElMundo_ciencia_2021-12-19_18.txt,0.64
./ElMundo\ciencia\ElMundo_ciencia_2021-12-20_16.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-20_17.txt,0.9056603773584906
./ElMundo\ciencia\ElMundo_ciencia_2021-12-21_13.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-21_14.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-21_15.txt,0.5853658536585366
./ElMundo\ciencia\ElMundo_ciencia_2021-12-22_11.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-22_12.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-23_10.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-24_8.txt,0.5853658536585366
./ElMundo\ciencia\ElMundo_ciencia_2021-12-24_9.txt,0.5853658536585366
./ElMundo\ciencia\ElMundo_ciencia_2021-12-25_5.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-25_6.txt,0.5454545454545454
./ElMundo\ciencia\ElMundo_ciencia_2021-12-25_7.txt,0.9056603773584906
./ElMundo\ciencia\ElMundo_ciencia_2021-12-26_4.txt,0.6575342465753424
./ElMundo\ciencia\ElMundo_ciencia_2021-12-28_2.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-28_3.txt,0.6666666666666666
./ElMundo\ciencia\ElMundo_ciencia_2021-12-31_1.txt,0.40816326530612246
./ElMundo\salud\ElMundo_salud_2021-12-27_46.txt,0.5542168674698795
./ElMundo\salud\ElMundo_salud_2021-12-27_47.txt,0.5897435897435898
./ElMundo\salud\ElMundo_salud_2021-12-27_48.txt,0.6376811594202898
./ElMundo\salud\ElMundo_salud_2021-12-27_49.txt,0.5581395348837209
./ElMundo\salud\ElMundo_salud_2021-12-27_50.txt,0.44660194174757284
./ElMundo\salud\ElMundo_salud_2021-12-28_36.txt,0.5581395348837209
./ElMundo\salud\ElMundo_salud_2021-12-28_37.txt,0.6885245901639344
./ElMundo\salud\ElMundo_salud_2021-12-28_38.txt,0.5777777777777777
./ElMundo\salud\ElMundo_salud_2021-12-28_39.txt,0.6363636363636364
./ElMundo\salud\ElMundo_salud_2021-12-28_40.txt,0.6027397260273972
./ElMundo\salud\ElMundo_salud_2021-12-28_41.txt,0.43636363636363634
./ElMundo\salud\ElMundo_salud_2021-12-28_42.txt,0.6376811594202898
./ElMundo\salud\ElMundo_salud_2021-12-28_43.txt,0.6885245901639344
./ElMundo\salud\ElMundo_salud_2021-12-28_44.txt,0.23645320197044334
./ElMundo\salud\ElMundo_salud_2021-12-29_26.txt,0.5777777777777777
./ElMundo\salud\ElMundo_salud_2021-12-29_27.txt,0.5581395348837209
./ElMundo\salud\ElMundo_salud_2021-12-29_28.txt,0.647887323943662
./ElMundo\salud\ElMundo_salud_2021-12-29_29.txt,0.6376811594202898
./ElMundo\salud\ElMundo_salud_2021-12-29_30.txt,0.6885245901639344
./ElMundo\salud\ElMundo_salud_2021-12-29_31.txt,0.6885245901639344
./ElMundo\salud\ElMundo_salud_2021-12-29_32.txt,0.5542168674698795
./ElMundo\salud\ElMundo_salud_2021-12-29_33.txt,0.5542168674698795
./ElMundo\salud\ElMundo_salud_2021-12-29_34.txt,0.5542168674698795
./ElMundo\salud\ElMundo_salud_2021-12-29_45.txt,0.5581395348837209
./ElMundo\salud\ElMundo_salud_2021-12-30_13.txt,0.6376811594202898
./ElMundo\salud\ElMundo_salud_2021-12-30_14.txt,0.5581395348837209
./ElMundo\salud\ElMundo_salud_2021-12-30_15.txt,0.5789473684210527
./ElMundo\salud\ElMundo_salud_2021-12-30_16.txt,0.2222222222222222
./ElMundo\salud\ElMundo_salud_2021-12-30_17.txt,0.6885245901639344
./ElMundo\salud\ElMundo_salud_2021-12-30_18.txt,0.5542168674698795
./ElMundo\salud\ElMundo_salud_2021-12-30_19.txt,0.46153846153846156
./ElMundo\salud\ElMundo_salud_2021-12-30_20.txt,0.5897435897435898
./ElMundo\salud\ElMundo_salud_2021-12-30_21.txt,0.36220472440944884
./ElMundo\salud\ElMundo_salud_2021-12-30_22.txt,0.5897435897435898
./ElMundo\salud\ElMundo_salud_2021-12-30_23.txt,0.5897435897435898
./ElMundo\salud\ElMundo_salud_2021-12-31_10.txt,0.44
./ElMundo\salud\ElMundo_salud_2021-12-31_11.txt,0.41025641025641024
./ElMundo\salud\ElMundo_salud_2021-12-31_4.txt,0.6176470588235294
./ElMundo\salud\ElMundo_salud_2021-12-31_5.txt,0.3404255319148936
./ElMundo\salud\ElMundo_salud_2021-12-31_6.txt,0.3404255319148936
./ElMundo\salud\ElMundo_salud_2021-12-31_7.txt,0.2857142857142857
./ElMundo\salud\ElMundo_salud_2021-12-31_8.txt,0.2857142857142857
./ElMundo\salud\ElMundo_salud_2021-12-31_9.txt,0.44
./ElMundo\salud\ElMundo_salud_2022-01-01_1.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-01_12.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-01_2.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-01_24.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-01_25.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-01_3.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-01_35.txt,0.6
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-23_48.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-23_49.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-23_50.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-24_45.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-24_46.txt,0.4827586206896552
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-24_47.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-25_43.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-25_44.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-26_41.txt,0.5555555555555556
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-26_42.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-27_40.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-28_39.txt,0.5777777777777777
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-29_34.txt,0.34710743801652894
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-29_35.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-29_36.txt,0.5507246376811594
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-29_37.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-29_38.txt,0.4864864864864865
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-30_30.txt,0.4166666666666667
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-30_31.txt,0.5542168674698795
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-30_32.txt,0.4810126582278481
./ElMundo\tecnologia\ElMundo_tecnologia_2021-11-30_33.txt,0.358974358974359
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_26.txt,0.4788732394366197
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_27.txt,0.41025641025641024
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_28.txt,0.3958333333333333
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_29.txt,0.5777777777777777
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-02_25.txt,0.48
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_22.txt,0.12121212121212122
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_23.txt,0.41025641025641024
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_24.txt,0.5777777777777777
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-04_21.txt,0.4117647058823529
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-05_20.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_18.txt,0.12121212121212122
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_19.txt,0.25
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_16.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_17.txt,0.391304347826087
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_14.txt,0.6808510638297872
